skel,smi,chembl,pAct_exact,pAct_any,pred
OZPIIJAFBPQQIM,Cc1nc(C)c(-c2ccn3ncc(C(=O)Nc4cc(-c5noc([C@H]6C[C@@H](OC(F)(F)F)C6)n5)ccc4C)c3c2)c(C)n1,,6.259637310505756,6.259637310505756,0.9377418
IPXZJBTVKWHKAM,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(-c3c(C)nc(N)nc3C)cc12,,6.259637310505756,6.259637310505756,0.89683795
YROQHDXTCJFBJL,Cc1nc(C)c(-c2ccn3ncc(C(=O)Nc4cc(-c5noc([C@H]6C[C@@H]6F)n5)ccc4C)c3c2)c(C)n1,,6.259637310505756,6.259637310505756,0.93195724
VMVSEDFKUZUPGQ,Cc1ccc(-c2noc(C34COC(C)(C3)C4)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.90878105
BZIPVRIUOPSVBS,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(N3CC(CO)(C(=O)O)C3)cc12,,6.259637310505756,6.259637310505756,0.8785685
JKLGRRSSUBIYJR,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(NCC3(C(=O)O)COC3)cc12,,6.259637310505756,6.259637310505756,0.7122406
NRQZYZAUOGYLIE,Cc1ncc(-c2noc([C@@H]3CN(C(=O)C(C)(F)F)[C@H]3C)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.98235637
SLPPEPBCXAAHSV,COC(=O)N1C[C@H](c2nc(-c3cnc(C)c(NC(=O)c4cnn5ccc(N6CC7(C6)CC(O)(C(F)F)C7)cc45)c3)no2)[C@H]1C,,6.259637310505756,6.259637310505756,0.9823621
QRISMWBSESQDEL,Cc1ncc(C(=O)Nc2cc(C(=O)NCC3(F)CCC3)c(F)cc2C)s1,,6.259637310505756,6.259637310505756,0.9904108
BPPUOMWBZNNUIL,Cc1ncc(-c2noc([C@@H]3CN(C(=O)C4(F)CC4)[C@H]3C)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9816257
IGCWPHWMLGJAOO,Cc1ncc(-c2noc([C@H]3CN(CC(F)(F)F)[C@@H]3C)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.629818655252878,0.9943336
OHUMOUFELAUMRD,Cc1ccc(-c2noc([C@H]3CC3(F)F)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.9749815
RYUOSAHKURPSQC,CC(=O)Nc1nc(C)c(-c2ccn3ncc(C(=O)Nc4cc(-c5noc([C@H]6C[C@@H]6F)n5)ccc4C)c3c2)c(C)n1,,6.259637310505756,6.259637310505756,0.8773583
LVMXPYPMMGSXKU,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(NCC3(C(=O)OC(C)(C)C)COC3)cc12,,6.259637310505756,6.259637310505756,0.81720823
JHIOWGLIKDIXDE,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(N3CCN(C(=O)OC(C)(C)C)[C@H](C)C3)cc12,,6.259637310505756,6.259637310505756,0.7790025
CWRJIEZCXZIYMN,Cc1ncc(-c2noc([C@H]3C[C@](O)(C(F)F)C3)n2)cc1CC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.97364205
FKYLMPXMPGFRED,Cc1ncc(-c2noc([C@H]3C[C@](O)(C(F)(F)F)C3)n2)cc1CC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.978101
DVBRNWGNEURPIQ,Cc1ccc(-c2noc(C3CN(C(=O)C4(F)CC4)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.8014741
PQIAZCQNDJWFET,Cc1ccc(-c2noc(C3CN(C(=O)[C@H]4C[C@@H]4F)C3)n2)cc1CC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.6386822
UPVGLWPINDEQSA,Cc1ccc(-c2noc(C3CN(C(=O)[C@H]4C[C@@H]4F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.7599159
HVLXOCWDVLHTSU,Cc1ccc(-c2noc(C3CN(C(=O)C4CC4)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.7983484
KGRNJCPDVHHUFY,Cc1ncc(C(=O)Nc2cc(C(=O)Nc3ccc(CC(F)(F)F)cn3)c(C)cc2C)s1,,6.259637310505756,6.259637310505756,0.90849984
CAPZHPZNXQDPRS,Cc1ncc(-c2noc([C@H]3C[C@@H](OC(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9938846
VKXPSPGXFLOYHE,CC(=O)N1CC(c2nc(-c3ccc(C)c(CC(=O)c4cnn5ccc(N6CC7(COC7)C6)cc45)c3)no2)C1,,6.259637310505756,6.259637310505756,0.7836765
BBDCMPBPHYXTOG,Cc1ncc(C(=O)Nc2cc(C(=O)Nc3ccn(C(F)F)n3)c(F)cc2C)s1,,6.259637310505756,6.259637310505756,0.97516894
UVVSCXXSAAPGMX,COC(=O)N1CC(Cc2nc(-c3ccc(C)c(CC(=O)c4cnn5ccc(N6CC7(COC7)C6)cc45)c3)no2)C1,,6.259637310505756,6.259637310505756,0.8370157
BZVSIXCGVPYBTN,O=C(Cc1cc(-c2noc([C@H]3C[C@@H]3F)n2)ccc1Cl)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9083806
PVDIOXLESGQEND,Cc1ncc(-c2noc(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9902968
JDTGPYAPQGPRET,Cc1ncc(-c2noc(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.9810254
QSMHPELTRAZSJE,Cc1ncc(-c2noc([C@H]3C[C@H](C(F)(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.98289293
HKAIDUSWMLPYJU,Cc1ncc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9912129
CRNURRCRVLFIOW,COC(=O)N1CC(c2nc(-c3cnc(C)c(NC(=O)c4cnn5ccc(N6CC7(COC7)C6)cc45)c3)no2)C1,,6.259637310505756,6.259637310505756,0.9678657
ZZPVUMNPXQSPRS,Cc1ncc(-c2nnn(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnc2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cn12,,6.259637310505756,6.259637310505756,0.9901822
XTXJPIUDURMZNS,Cc1ncc(-c2noc(C3C[C@H]3F)n2)cc1NC(=O)c1cnc2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cn12,,6.259637310505756,6.259637310505756,0.99305373
DPOWFYUTUYUMQY,Cc1ccc(-c2noc(C3CN(C(=O)N(C)C4CC4)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.8015536
BDZUHAAIWWVTLR,Cc1ccc(-c2noc(C3CN(C(=O)C(F)(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.89774764
ORKVUMIPHVPQFS,Cc1sc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnc2ccccn12,,6.259637310505756,6.259637310505756,0.8180545
RWFBPBREHKKRQX,Cc1sc(-c2noc(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnc2ccccn12,,6.259637310505756,6.259637310505756,0.89132196
YYGUMFCRDQCXFY,Cc1ncc(-c2noc(C3C[C@@H]3C(F)F)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.9841166
YGUGPSOTKOCVFJ,Cc1cc(F)c(-c2noc([C@H]3C[C@@H](OC(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.93186283
LFMGDCYCEBYUDR,CC(=O)N1CCC(c2nc(-c3cnc(C)c(NC(=O)c4cnn5ccc(N6CC7(C6)CC(O)(C(F)F)C7)cc45)c3)no2)C1,,6.259637310505756,6.259637310505756,0.9853389
UYYKOPFRNNVJOF,Cc1ccc(-c2noc(N3CCOCC3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9755492
NSFVBTDPDMXLAT,Cc1ccc(-c2noc(C3CCN(C(=O)[C@H]4C[C@@H]4F)CC3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.8586862
GOIUCAYMUPBFSM,Cc1sc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.8421514
MZNNWYJRXAJLCA,Cc1ccc(-c2noc(C3CCN(C(=O)[C@H]4C[C@@H]4F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.83229196
AKSIUGODQIQDRA,Cc1ccc(-c2noc(C3CC4(C3)CN(C(=O)[C@H]3C[C@@H]3F)C4)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.68451095
NVPYPRGHROGMIQ,Cc1ncc(-c2noc(C3(F)CN(CC(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9933596
VWFLBAPIQJPLNE,Cc1ccc(-c2noc(C3CC4(C3)CN(C(=O)[C@H]3C[C@@H]3F)C4)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.6462203
CRLPSHFATDHAQW,Cc1ncc(-c2noc(C3(F)CN(C(=O)C(C)(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9792448
HSDNRYBHCGNMRU,Cc1ccc(-c2noc(N3CCOCC3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.96146953
VXOLIZGTNFEIKB,Cc1ccc(-c2noc(N3CC(F)(F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.96329194
RXKBPEVBEXEVLD,Cc1ccc(-c2noc(C3CCN(C(=O)[C@H]4C[C@@H]4F)CC3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.839417
WTISBSFBSSXFEK,Cc1ncc(C(=O)Nc2cc(C(=O)Nc3cnc(OCC4CC4)cn3)c(F)cc2C)s1,,6.259637310505756,6.259637310505756,0.9729402
TYFXYIJCHHKDHB,Cc1ccc(-c2noc(C3CCN(C(=O)[C@H]4C[C@@H]4F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.8113221
PRLRLIBIZNGVAM,Cc1ncc(-c2noc([C@H]3CC3(F)F)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.99553066
GWLSTGJXBRPKBA,Cc1ncc(-c2noc(C3CN(CC(F)(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9912238
JXYMAHREILJWMR,COC(=O)N1CC2(CC(c3nc(-c4ccc(C)c(NC(=O)c5cnn6ccc(N7CC8(COC8)C7)cc56)c4)no3)C2)C1,,6.259637310505756,6.259637310505756,0.8034088
ZIWPRSXHKMLKGR,Cc1sc(-c2noc(C3CN(C(=O)C4(F)CC4)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.6464497
CIJFFONBJVRUEC,Cc1ncc(-c2noc(C3CN(CC(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.98843145
OCWOXPCFCFFVSB,Cc1sc(-c2noc(C3CN(C(=O)[C@H]4C[C@@H]4F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.56613827
JFGZVICAXQKGCL,Cc1sc(-c2noc(C3CN(C(=O)C4(F)CC4)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.5265499
RVNOKZQIAALNHE,Cc1ncc(C(=O)Nc2cc(C(=O)Nc3ccnc(CC4CC4)n3)c(F)cc2C)s1,,6.259637310505756,6.259637310505756,0.977458
ONGCUUOJIIYSCY,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnc(-c2ccc3c(c2)C2(CC2)C(=O)C3)o1,,6.259637310505756,6.259637310505756,0.98977554
XYBQIVCNBQSAQC,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnc(-c2ccc3[nH]c(C#N)cc3c2)o1,,6.259637310505756,6.259637310505756,0.98893994
UPVHDAFPLYNUFN,Cc1ncc(C(=O)Nc2cc(C(=O)Nc3ccc(CC(F)(F)F)cn3)c(Cl)cc2C)s1,,6.259637310505756,6.259637310505756,0.9419103
LRLRVEWGQRLQGY,Cc1sc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.79525447
XMFZCTWBOMPEGI,O=C(Nc1cc(-c2noc([C@H]3C[C@@H]3F)n2)ccc1OC(F)(F)F)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9391806
VSFBAKUWSOJKTP,F[C@H]1C[C@@H]1c1nc(-c2ccc(OC(F)(F)F)c(NCc3cnn4ccc(N5CC6(COC6)C5)cc34)c2)no1,,6.259637310505756,6.259637310505756,0.74410266
UZDWETCJJDHRFY,Cc1sc(-c2noc([C@H]3C[C@@H](OC(F)(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.9410137
CBFFDGMBRGOABU,O=C(Nc1cc(-c2noc(N3CC(F)(F)C3)n2)ccc1Cl)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.93064386
YJYQWERIDQAZTJ,Cc1ncc(-c2noc(N3CC(F)(F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.99495184
VULHFNWHHGXQOE,Cc1sc(-c2noc(C3CN(C(=O)C4CC4)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(C3)CC(O)(CC(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.5926748
CPEQORMKTMFYGG,O=C(Nc1cc(-c2noc(N3CC(F)(F)C3)n2)ccc1Cl)c1cnn2ccc(N3CC4(C3)CC(O)(C(F)F)C4)cc12,,6.259637310505756,6.259637310505756,0.9590727
VLKJLZDFBFKWFG,Cc1ncc(-c2noc(N3CC(F)(F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC4(COC4)C3)cc12,,6.259637310505756,6.259637310505756,0.99041384
JEWWTCSXZGQGGH,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnc(-c2ccc3cn(C)nc3c2)o1,,6.259637310505756,6.259637310505756,0.97396845
HAFQDRIRKVMNNM,CNS(=O)(=O)c1cccc(-c2ncc(C(=O)Nc3cc(-c4noc([C@H]5C[C@@H]5F)n4)ccc3C)o2)c1,,6.259637310505756,6.259637310505756,0.87160873
